grid_id,latitude,longitude,industrial_fire_risk,risk_level,risk_rank,industrial_fire_candidate,detections_30d,active_days_30d,avg_frp_30d,max_frp_30d,industrial_context_score,industrial_area_count,factory_count,warehouse_count,power_plant_count,manufacturing_count,refinery_count,storage_count,chemical_count,steel_count,oil_count,gas_count,recent_thermal_score,has_recent_firms,has_industrial_context
30.60_74.95,30.626503560267857,74.97470831473215,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.70_78.05,25.724400989876266,78.076926287964,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.30_83.80,25.32039283783784,83.82645521396397,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
29.95_75.65,29.97403320945946,75.6756425563063,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
25.75_76.55,25.771004401805868,76.57391551918735,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.20_83.65,25.221430101694917,83.67398291525423,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
28.05_81.95,28.076022210884357,81.97662530612246,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
26.90_82.85,26.92472145124716,82.87832037414967,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.90_78.70,25.92394018161181,78.72352053348467,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.80_78.05,25.82880637813212,78.07225621867882,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
27.25_82.65,27.275686298405468,82.67497828018223,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.50_76.65,25.52653097142857,76.67696735999999,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
30.45_74.75,30.474477691428568,74.7745615657143,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.05_83.80,25.07675239954076,83.82809684270953,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
31.00_74.60,31.023278874856487,74.6267457749713,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.95_78.25,25.96908514942529,78.27472777011495,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
31.00_74.65,31.026923979238752,74.67438485582468,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
30.40_74.70,30.42565240184757,74.72531084295612,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
25.25_83.85,25.274057976878613,83.87183270520232,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
30.05_75.80,30.073966516203704,75.8247477199074,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
28.15_81.90,28.173391960556845,81.92395240139211,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
30.65_75.00,30.674756519721576,75.02502460556845,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
30.95_74.70,30.97417364269141,74.72478345707657,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1
25.70_78.10,25.72706077906977,78.12054353488372,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
28.70_76.90,28.74261893815636,76.9276337806301,24.75995039358653,LOW,4.0,1,1.0,1.0,2.47,2.47,80.0,0,0,0,1,0,0,0,0,0,0,0,15.940920851035711,1,1
28.00_82.15,28.02575615654205,82.17468035046728,0.0,NO ACTIVE SIGNAL,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
